                                                                                                       16 Jul 2020 15:26:21
Civil Air Patrol Use Only
Satellite-geo:  J2000 Position & Velocity


       Time (UTCG)              x (km)            y (km)            z (km)        vx (km/sec)    vy (km/sec)    vz (km/sec)
------------------------    --------------    --------------    --------------    -----------    -----------    -----------
14 Jun 2019 04:00:00.000    -260000.000000    -260000.000000     -50000.000000       1.100000      -0.800000       0.000000
14 Jun 2019 08:48:00.000    -241030.438104    -273301.431940     -50495.094596       1.097363      -0.741222      -0.052058
14 Jun 2019 13:36:00.000    -222030.519387    -285651.007467     -51676.240429       1.102592      -0.688676      -0.082192
14 Jun 2019 18:24:00.000    -202903.547511    -297112.907510     -53272.159502       1.111578      -0.638085      -0.101131
14 Jun 2019 23:12:00.000    -183606.040307    -307705.301919     -55133.145196       1.122042      -0.587883      -0.113376
15 Jun 2019 04:00:00.000    -164125.294197    -317428.796405     -57165.115265       1.132604      -0.537459      -0.121195
15 Jun 2019 08:48:00.000    -144467.912389    -326277.426865     -59303.688348       1.142365      -0.486613      -0.125880
15 Jun 2019 13:36:00.000    -124653.287059    -334243.705975     -61502.138205       1.150721      -0.435346      -0.128233
15 Jun 2019 18:24:00.000    -104709.522474    -341321.187144     -63725.119228       1.157255      -0.383767      -0.128793
15 Jun 2019 23:12:00.000     -84670.674833    -347505.824315     -65945.113138       1.161688      -0.332038      -0.127941
16 Jun 2019 04:00:00.000     -64574.764926    -352796.676687     -68140.278155       1.163836      -0.280353      -0.125960
16 Jun 2019 08:48:00.000     -44462.283554    -357196.223398     -70293.073313       1.163593      -0.228912      -0.123070
16 Jun 2019 13:36:00.000     -24375.036404    -360710.431031     -72389.334742       1.160912      -0.177916      -0.119443
16 Jun 2019 18:24:00.000      -4355.239539    -363348.658996     -74417.627461       1.155790      -0.127556      -0.115225
16 Jun 2019 23:12:00.000      15555.189533    -365123.458109     -76368.771473       1.148262      -0.078010      -0.110532
17 Jun 2019 04:00:00.000      35315.181642    -366050.300461     -78235.482678       1.138390      -0.029438      -0.105468
17 Jun 2019 08:48:00.000      54884.933598    -366147.269218     -80012.090442       1.126258       0.018018      -0.100117
17 Jun 2019 13:36:00.000      74226.213840    -365434.729048     -81694.309731       1.111964       0.064236      -0.094555
17 Jun 2019 18:24:00.000      93302.573363    -363934.993202     -83279.052704       1.095615       0.109113      -0.088845
17 Jun 2019 23:12:00.000     112079.475623    -361671.997816     -84764.270502       1.077324       0.152564      -0.083044
18 Jun 2019 04:00:00.000     130524.360450    -358670.995194     -86148.817020       1.057206       0.194521      -0.077201
18 Jun 2019 08:48:00.000     148606.649080    -354958.266651     -87432.333260       1.035375       0.234932      -0.071357
18 Jun 2019 13:36:00.000     166297.705290    -350560.865243     -88615.145434       1.011942       0.273760      -0.065551
18 Jun 2019 18:24:00.000     183570.755405    -345506.384179     -89698.177833       0.987012       0.310980      -0.059814
18 Jun 2019 23:12:00.000     200400.778904    -339822.756939     -90682.876178       0.960682       0.346576      -0.054174
19 Jun 2019 04:00:00.000     216764.371632    -333538.085272     -91571.141604       0.933041       0.380545      -0.048657
19 Jun 2019 08:48:00.000     232639.588008    -326680.496989     -92365.272882       0.904169       0.412887      -0.043282
19 Jun 2019 13:36:00.000     248005.764292    -319278.030507     -93067.916546       0.874135       0.443611      -0.038071
19 Jun 2019 18:24:00.000     262843.323870    -311358.546387     -93682.022772       0.842995       0.472729      -0.033038
19 Jun 2019 23:12:00.000     277133.566602    -302949.663140     -94210.806940       0.810794       0.500257      -0.028198
20 Jun 2019 04:00:00.000     290858.437030    -294078.717648     -94657.713449       0.777562       0.526212      -0.023563
20 Jun 2019 08:48:00.000     304000.274327    -284772.747561     -95026.382830       0.743315       0.550610      -0.019144
20 Jun 2019 13:36:00.000     316541.529334    -275058.497608     -95320.614912       0.708049       0.573469      -0.014949
20 Jun 2019 18:24:00.000     328464.454204    -264962.446939     -95544.331722       0.671743       0.594802      -0.010983
20 Jun 2019 23:12:00.000     339750.735721    -254510.862376     -95701.524858       0.634354       0.614620      -0.007249
21 Jun 2019 04:00:00.000     350381.075821    -243729.875406     -95796.191288       0.595810       0.632928      -0.003745
21 Jun 2019 08:48:00.000     360334.681783    -232645.589630     -95832.237071       0.556008       0.649723      -0.000462
21 Jun 2019 13:36:00.000     369588.641045    -221284.221960     -95813.332422       0.514804       0.664995       0.002619
21 Jun 2019 18:24:00.000     378117.140199    -209672.284606     -95742.694250       0.472005       0.678719       0.005533
21 Jun 2019 23:12:00.000     385890.459144    -197836.818465     -95622.741839       0.427349       0.690858       0.008339
22 Jun 2019 04:00:00.000     392873.653786    -185805.690113     -95454.548292       0.380489       0.701354       0.011137
22 Jun 2019 08:48:00.000     399024.796712    -173607.968228     -95236.951520       0.330957       0.710124       0.014092
22 Jun 2019 13:36:00.000     404292.585172    -161274.396323     -94965.083909       0.278128       0.717055       0.017477
22 Jun 2019 18:24:00.000     408613.042237    -148837.971390     -94627.881082       0.221148       0.722000       0.021752
22 Jun 2019 23:12:00.000     411904.936912    -136334.605927     -94203.747554       0.158856       0.724769       0.027709
23 Jun 2019 04:00:00.000     414063.477640    -123803.748341     -93652.794219       0.089667       0.725145       0.036734
23 Jun 2019 08:48:00.000     414952.030769    -111288.520067     -92902.479070       0.011468       0.722936       0.051338
23 Jun 2019 13:36:00.000     414392.987153     -98833.996101     -91820.294629      -0.078329       0.718159       0.076187
23 Jun 2019 18:24:00.000     412164.776613     -86479.535207     -90161.335391      -0.181946       0.711612       0.120045
23 Jun 2019 23:12:00.000     408033.388870     -74233.727037     -87473.253727      -0.297517       0.706460       0.198607
24 Jun 2019 04:00:00.000     401907.196749     -62007.036028     -82971.265547      -0.407620       0.711538       0.333359
24 Jun 2019 08:48:00.000     394252.475869     -49496.034874     -75604.280299      -0.464239       0.741764       0.525771
24 Jun 2019 13:36:00.000     386432.590311     -36207.368527     -64843.169116      -0.425868       0.799219       0.710098
24 Jun 2019 18:24:00.000     379835.271042     -21866.417044     -51561.896212      -0.335886       0.858593       0.811693
24 Jun 2019 23:12:00.000     374726.737879      -6638.356979     -37224.687718      -0.260791       0.900658       0.838720
25 Jun 2019 04:00:00.000     370621.202913       9159.383092     -22780.566055      -0.219872       0.925313       0.829490
25 Jun 2019 08:48:00.000     366965.007626      25270.246622      -8630.956147      -0.207208       0.937718       0.807062
25 Jun 2019 13:36:00.000     363349.897089      41519.673578       5090.879171      -0.213766       0.941867       0.780869
25 Jun 2019 18:24:00.000     359506.091477      57787.673414      18353.534533      -0.232756       0.940168       0.754198
25 Jun 2019 23:12:00.000     355260.597603      73986.375364      31158.769825      -0.259654       0.934025       0.727989
26 Jun 2019 04:00:00.000     350504.214784      90046.983979      43516.181351      -0.291487       0.924297       0.702354
26 Jun 2019 08:48:00.000     345169.973046     105912.705090      55434.615988      -0.326264       0.911546       0.677149
26 Jun 2019 13:36:00.000     339219.495657     121534.908770      66919.801349      -0.362621       0.896170       0.652178
26 Jun 2019 18:24:00.000     332634.265038     136870.992410      77974.191991      -0.399597       0.878476       0.627263
26 Jun 2019 23:12:00.000     325409.873727     151883.139369      88597.519566      -0.436501       0.858716       0.602266
27 Jun 2019 04:00:00.000     317552.118562     166537.553872      98787.479945      -0.472832       0.837105       0.577091
27 Jun 2019 08:48:00.000     309074.262931     180803.951443     108540.357582      -0.508219       0.813837       0.551670
27 Jun 2019 13:36:00.000     299995.064201     194655.188040     117851.530186      -0.542393       0.789082       0.525963
27 Jun 2019 18:24:00.000     290337.317918     208066.964631     126715.849643      -0.575153       0.762998       0.499948
27 Jun 2019 23:12:00.000     280126.762283     221017.573416     135127.913987      -0.606355       0.735729       0.473618
28 Jun 2019 04:00:00.000     269391.241839     233487.667834     143082.249463      -0.635899       0.707404       0.446971
28 Jun 2019 08:48:00.000     258160.062212     245460.046855     150573.420662      -0.663714       0.678141       0.420012
28 Jun 2019 13:36:00.000     246463.490303     256919.448670     157596.083140      -0.689758       0.648048       0.392746
28 Jun 2019 18:24:00.000     234332.362592     267852.350839     164144.992226      -0.714007       0.617219       0.365180
28 Jun 2019 23:12:00.000     221797.781734     278246.775982     170214.975654      -0.736454       0.585737       0.337315
29 Jun 2019 04:00:00.000     208890.880149     288092.100699     175800.877104      -0.757102       0.553677       0.309151
29 Jun 2019 08:48:00.000     195642.635182     297378.867662     180897.476900      -0.775964       0.521099       0.280681
29 Jun 2019 13:36:00.000     182083.727521     306098.596759     185499.389647      -0.793062       0.488055       0.251893
29 Jun 2019 18:24:00.000     168244.428692     314243.595232     189600.944165      -0.808422       0.454585       0.222765
29 Jun 2019 23:12:00.000     154154.512815     321806.760679     193196.042470      -0.822074       0.420717       0.193270
30 Jun 2019 04:00:00.000     139843.181523     328781.372961     196277.999841      -0.834054       0.386467       0.163367
30 Jun 2019 08:48:00.000     125338.996789     335160.869903     198839.362535      -0.844402       0.351837       0.133006
30 Jun 2019 13:36:00.000     110669.809322     340938.593090     200871.703748      -0.853160       0.316813       0.102126
30 Jun 2019 18:24:00.000      95862.677296     346107.499578     202365.393627      -0.860376       0.281365       0.070648
30 Jun 2019 23:12:00.000      80943.758659     350659.816416     203309.345285      -0.866108       0.245438       0.038482
 1 Jul 2019 04:00:00.000      65938.164137     354586.622401     203690.739471      -0.870420       0.208952       0.005518
 1 Jul 2019 08:48:00.000      50869.751332     357877.330063     203494.732101      -0.873393       0.171793      -0.028369
 1 Jul 2019 13:36:00.000      35760.831590     360519.031888     202704.167350      -0.875127       0.133805      -0.063321
 1 Jul 2019 18:24:00.000      20631.758650     362495.672095     201299.328265      -0.875750       0.094778      -0.099492
 1 Jul 2019 23:12:00.000       5500.357080     363786.994446     199257.786432      -0.875428       0.054433      -0.137040
 2 Jul 2019 04:00:00.000      -9618.856249     364367.217750     196554.460850      -0.874381       0.012406      -0.176109
 2 Jul 2019 08:48:00.000     -24715.701519     364203.404867     193162.059763      -0.872894      -0.031769      -0.216806
 2 Jul 2019 13:36:00.000     -39785.638886     363253.535294     189052.173894      -0.871336      -0.078680      -0.259143
 2 Jul 2019 18:24:00.000     -54831.306521     361464.393844     184197.402193      -0.870170      -0.129035      -0.302976
 2 Jul 2019 23:12:00.000     -69864.125385     358769.582018     178574.987562      -0.869947      -0.183644      -0.347894
 3 Jul 2019 04:00:00.000     -84905.575413     355088.269229     172172.430070      -0.871270      -0.243351      -0.393098
 3 Jul 2019 08:48:00.000     -99987.428477     350325.698895     164995.275416      -0.874708      -0.308894      -0.437282
 3 Jul 2019 13:36:00.000    -115149.906197     344376.790978     157076.536305      -0.880639      -0.380686      -0.478573
 3 Jul 2019 18:24:00.000    -130436.683041     337134.072345     148485.946578      -0.889047      -0.458546      -0.514624
 3 Jul 2019 23:12:00.000    -145886.242391     328500.188417     139335.848935      -0.899320      -0.541454      -0.542922
 4 Jul 2019 04:00:00.000    -161520.504871     318403.305714     129779.993471      -0.910151      -0.627483      -0.561281
 4 Jul 2019 08:48:00.000    -177333.402108     306811.617607     120003.008363      -0.919643      -0.713982      -0.568394
 4 Jul 2019 13:36:00.000    -193283.011796     293742.434001     110201.762448      -0.925607      -0.798000      -0.564185
 4 Jul 2019 18:24:00.000    -209290.044012     279262.939136     100563.422116      -0.925975      -0.876797      -0.549825
 4 Jul 2019 23:12:00.000    -225243.181699     263482.846927      91246.330371      -0.919158      -0.948241      -0.527404
 5 Jul 2019 04:00:00.000    -241009.442392     246541.893499      82368.199086      -0.904257      -1.011001      -0.499449
 5 Jul 2019 08:48:00.000    -256446.572030     228596.014249      74002.919603      -0.881090      -1.064516      -0.468435
 5 Jul 2019 13:36:00.000    -271414.688114     209805.273950      66184.507523      -0.850087      -1.108834      -0.436460
 5 Jul 2019 18:24:00.000    -285785.380691     190325.111914      58915.317327      -0.812114      -1.144408      -0.405080
 5 Jul 2019 23:12:00.000    -299447.593932     170301.093523      52175.634821      -0.768284      -1.171901      -0.375300
 6 Jul 2019 04:00:00.000    -312310.457585     149866.516957      45932.524019      -0.719797      -1.192050      -0.347664
 6 Jul 2019 08:48:00.000    -324303.700892     129141.928952      40146.803301      -0.667821      -1.205585      -0.322374
 6 Jul 2019 13:36:00.000    -335376.414329     108235.686379      34777.865901      -0.613420      -1.213183      -0.299410
 6 Jul 2019 18:24:00.000    -345494.851104      87244.950885      29786.583795      -0.557513      -1.215462      -0.278634
 6 Jul 2019 23:12:00.000    -354639.798159      66256.766632      25136.756606      -0.500862      -1.212976      -0.259856
 7 Jul 2019 04:00:00.000    -362803.877361      45349.063477      20795.581832      -0.444076      -1.206226      -0.242879
 7 Jul 2019 08:48:00.000    -369988.998011      24591.539206      16733.538178      -0.387623      -1.195666      -0.227522
 7 Jul 2019 13:36:00.000    -376204.080560       4046.422810      12923.962152      -0.331851      -1.181707      -0.213636
 7 Jul 2019 18:24:00.000    -381463.104220     -16230.867198       9342.499386      -0.277001      -1.164727      -0.201103
 7 Jul 2019 23:12:00.000    -385783.490025     -36191.158644       5966.540490      -0.223233      -1.145073      -0.189839
 8 Jul 2019 04:00:00.000    -389184.806908     -55791.050941       2774.703933      -0.170639      -1.123066      -0.179785
 8 Jul 2019 08:48:00.000    -391687.776429     -74992.528048       -253.598008      -0.119261      -1.099009      -0.170907
 8 Jul 2019 13:36:00.000    -393313.546747     -93762.655696      -3138.488025      -0.069110      -1.073189      -0.163184
 8 Jul 2019 18:24:00.000    -394083.204695    -112073.352917      -5899.831731      -0.020171      -1.045880      -0.156606
 8 Jul 2019 23:12:00.000    -394017.494004    -129901.218241      -8557.313796       0.027581      -1.017349      -0.151161
 9 Jul 2019 04:00:00.000    -393136.706120    -147227.380076     -11130.377276       0.074171      -0.987854      -0.146831
 9 Jul 2019 08:48:00.000    -391460.707008    -164037.332001     -13638.031046       0.119622      -0.957642      -0.143583
