                                                                 16 Jul 2020 14:18:13
Civil Air Patrol Use Only
Satellite-Satellite1


       Time (UTCG)                x (km)               y (km)              z (km)    
------------------------    -----------------    -----------------    ---------------
14 Jun 2019 04:00:00.000    -128392580.265370     -64034354.886231    -2800775.034344
16 Jun 2019 04:00:00.000    -125627338.930073     -67954793.686011    -2914186.532654
18 Jun 2019 04:00:00.000    -122691359.009935     -71782861.509884    -3023636.931454
20 Jun 2019 04:00:00.000    -119586232.357053     -75511950.722424    -3128918.021975
22 Jun 2019 04:00:00.000    -116313734.029542     -79135336.303609    -3229819.174139
24 Jun 2019 04:00:00.000    -112875836.842216     -82646171.213768    -3326126.711963
26 Jun 2019 04:00:00.000    -109274727.234127     -86037482.275733    -3417624.036393
28 Jun 2019 04:00:00.000    -105512822.461262     -89302166.806574    -3504091.362048
30 Jun 2019 04:00:00.000    -101592789.013143     -92432990.233115    -3585306.232350
 2 Jul 2019 04:00:00.000     -97517563.209394     -95422583.885901    -3661042.939189
 4 Jul 2019 04:00:00.000     -93290372.998284     -98263444.387224    -3731073.405432
 6 Jul 2019 04:00:00.000     -88914761.459324    -100947934.316273    -3795166.760616
 8 Jul 2019 04:00:00.000     -84394612.408810    -103468284.054001    -3853088.968407
10 Jul 2019 04:00:00.000     -79734177.546973    -105816595.594727    -3904604.618889
12 Jul 2019 04:00:00.000     -74938105.900534    -107984848.154520    -3949476.207235
14 Jul 2019 04:00:00.000     -70011474.915485    -109964906.347067    -3987464.750708
16 Jul 2019 04:00:00.000     -64959823.746320    -111748530.905265    -4018330.384132
18 Jul 2019 04:00:00.000     -59789188.651310    -113327392.475753    -4041833.209255
20 Jul 2019 04:00:00.000     -54506139.981014    -114693089.239992    -4057733.616226
22 Jul 2019 04:00:00.000     -49117820.989813    -115837168.567216    -4065793.287809
24 Jul 2019 04:00:00.000     -43631988.532895    -116751153.178203    -4065777.110144
26 Jul 2019 04:00:00.000     -38057055.216568    -117426572.680674    -4057453.175938
28 Jul 2019 04:00:00.000     -32402131.793253    -117855001.251712    -4040595.029158
30 Jul 2019 04:00:00.000     -26677071.146294    -118028101.599018    -4014983.129165
 1 Aug 2019 04:00:00.000     -20892511.681434    -117937676.518972    -3980407.005374
 3 Aug 2019 04:00:00.000     -15059919.652415    -117575728.598656    -3936667.503211
 5 Aug 2019 04:00:00.000      -9191630.139981    -116934528.706160    -3883578.051405
 7 Aug 2019 04:00:00.000      -3300884.436310    -116006694.017410    -3820969.239354
 9 Aug 2019 04:00:00.000       2598136.252276    -114785276.222048    -3748690.725437
11 Aug 2019 04:00:00.000       8490283.486645    -113263860.429415    -3666615.140227
13 Aug 2019 04:00:00.000      14359422.748799    -111436675.047283    -3574641.393924
15 Aug 2019 04:00:00.000      20188424.067836    -109298712.681350    -3472699.073795
17 Aug 2019 04:00:00.000      25959165.706542    -106845861.832578    -3360752.569114
19 Aug 2019 04:00:00.000      31652553.478095    -104075048.572126    -3238804.985945
21 Aug 2019 04:00:00.000      37248557.935472    -100984386.997047    -3106904.231755
23 Aug 2019 04:00:00.000      42726272.829316     -97573336.703544    -2965146.897728
25 Aug 2019 04:00:00.000      48063998.345737     -93842864.260630    -2813683.122709
27 Aug 2019 04:00:00.000      53239350.456856     -89795605.787076    -2652721.781208
29 Aug 2019 04:00:00.000      58229399.858886     -85436026.041062    -2482534.606505
31 Aug 2019 04:00:00.000      63010842.176863     -80770568.685319    -2303460.353856
 2 Sep 2019 04:00:00.000      67560199.627529     -75807792.137846    -2115907.585560
 4 Sep 2019 04:00:00.000      71854054.302380     -70558483.983123    -1920358.126655
 6 Sep 2019 04:00:00.000      75869310.739897     -65035747.358128    -1717367.344362
 8 Sep 2019 04:00:00.000      79583484.567758     -59255051.872974    -1507565.681664
10 Sep 2019 04:00:00.000      82975012.160709     -53234241.925035    -1291656.052483
12 Sep 2019 04:00:00.000      86023573.424690     -46993496.993686    -1070410.848448
14 Sep 2019 04:00:00.000      88710419.127630     -40555238.970503     -844667.662970
16 Sep 2019 04:00:00.000      91018692.425533     -33943983.575380     -615322.106973
18 Sep 2019 04:00:00.000      92933732.888502     -27186135.891767     -383320.040263
20 Sep 2019 04:00:00.000      94443351.441974     -20309732.109402     -149647.346442
22 Sep 2019 04:00:00.000      95538064.809982     -13344132.480442       84681.750534
24 Sep 2019 04:00:00.000      96211279.101394      -6319673.956651      318636.872104
26 Sep 2019 04:00:00.000      96459414.440889        732707.224854      551184.186609
28 Sep 2019 04:00:00.000      96281965.038069       7781871.170319      781299.919803
30 Sep 2019 04:00:00.000      95681492.028463      14796874.453996     1007983.657840
 2 Oct 2019 04:00:00.000      94663549.878244      21747360.902416     1230270.755260
 4 Oct 2019 04:00:00.000      93236550.311508      28603930.429749     1447243.389874
 6 Oct 2019 04:00:00.000      91411570.544403      35338474.342162     1658040.528397
 8 Oct 2019 04:00:00.000      89202114.798987      41924468.067475     1861866.599664
10 Oct 2019 04:00:00.000      86623839.749684      48337214.402002     2057997.542824
12 Oct 2019 04:00:00.000      83694255.408229      54554033.186289     2245785.480205
14 Oct 2019 04:00:00.000      80432412.551398      60554396.846330     2424661.512652
16 Oct 2019 04:00:00.000      76858587.680703      66320012.542517     2594136.700462
18 Oct 2019 04:00:00.000      72993974.848721      71834854.704384     2753801.626622
20 Oct 2019 04:00:00.000      68860392.428156      77085152.799831     2903324.116159
22 Oct 2019 04:00:00.000      64480010.964670      82059340.479689     3042446.427725
24 Oct 2019 04:00:00.000      59875106.788455      86747972.601134     3170980.789176
26 Oct 2019 04:00:00.000      55067843.858965      91143617.157162     3288804.237951
28 Oct 2019 04:00:00.000      50080084.945448      95240728.600739     3395854.100815
30 Oct 2019 04:00:00.000      44933232.876574      99035508.150821     3492123.611378
 1 Nov 2019 04:00:00.000      39648100.321200     102525757.007684     3577654.306463
